window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2011-08-30 → 2012-08-30,7434507.108432322,47504448.71908882,20724253.733379014,32870126.078904815,33.166373822247635,63.47805349361416,30.311679671366527
2011-08-31 → 2012-08-31,7434507.108432322,47504448.71908882,20720296.851856474,32851172.717550732,33.1564988851664,63.43075279740091,30.274253912234514
2011-09-01 → 2012-09-01,7434507.108432322,47504448.71908882,20714294.36613872,32796360.20138672,33.14151886404214,63.29396069349269,30.152441829450552
2011-09-02 → 2012-09-02,7434507.108432322,47504448.71908882,20707848.953117188,32847356.051955476,33.12543345746941,63.42122778827477,30.295794330805357
2011-09-03 → 2012-09-03,7434507.108432322,47504448.71908882,20702201.53660121,32904690.563902076,33.11133955992682,63.564313876354696,30.452974316427877
2011-09-04 → 2012-09-04,7434507.108432322,47504448.71908882,20696245.07224957,32858534.753975075,33.09647439139348,63.44912576259232,30.35265137119884
2011-09-05 → 2012-09-05,7434507.108432322,47504448.71908882,20687743.44285207,32790712.91774522,33.07525741663442,63.27986712755648,30.204609710922057
2011-09-06 → 2012-09-06,7434507.108432322,47504448.71908882,20676292.329771157,32667769.752892885,33.04667960338933,62.973045705037514,29.926366101648185
2011-09-07 → 2012-09-07,7434507.108432322,47504448.71908882,20661094.75873366,32590419.995953873,33.008751993748255,62.78000884541194,29.771256851663686
2011-09-08 → 2012-09-08,7434507.108432322,47504448.71908882,20647728.54590682,32805401.887109905,32.975394788098406,63.316525452411085,30.34113066431268
2011-09-09 → 2012-09-09,7434507.108432322,47504448.71908882,20631558.897162527,32809837.75109826,32.93504122606578,63.32759575551123,30.392554529445455
2011-09-10 → 2012-09-10,7434507.108432322,47504448.71908882,20601410.392044846,32569154.424554415,32.859801522922155,62.72693771392369,29.867136191001535
2011-09-11 → 2012-09-11,7434507.108432322,47504448.71908882,20568141.269980427,32877974.885198634,32.77677389491191,63.49764125935159,30.720867364439677
2011-09-12 → 2012-09-12,7434507.108432322,47504448.71908882,20545667.337682277,33703769.47226215,32.72068713412618,65.55852419022139,32.83783705609521
2011-09-13 → 2012-09-13,7434507.108432322,47504448.71908882,20524872.926064014,33892764.514120296,32.668791846081305,66.03018707332348,33.36139522724217
2011-09-14 → 2012-09-14,7434507.108432322,47504448.71908882,20501143.196429636,33948302.18460519,32.60957107190362,66.1687888986631,33.55921782675947
2011-09-15 → 2012-09-15,7434507.108432322,47504448.71908882,20475716.110751364,34038180.32765809,32.54611431440361,66.39309205319776,33.84697773879415
