date,weight,PriceUSD,MA20,window_year,spd,spd_percentile
2011-08-23,0.0008387436751964,10.9172450543542,10.17819437022209,2011,9159820.037209507,13
2011-08-24,0.0008158383391215,10.870444289889,10.183291397311516,2011,9199256.013207637,13
2011-08-25,0.0008063384306225,9.5460936735827,10.174088383007016,2011,10475489.076409772,16
2011-08-26,0.0014303577628709,8.12692016306254,10.232225904368793,2011,12304784.345551651,20
2011-08-27,0.0028933285454488,8.59649760666277,10.236961120090594,2011,11632644.429807596,19
2011-08-28,0.0021080189445621,9.03086639976622,10.299737558182352,2011,11073134.688670477,17
2011-08-29,0.0016006930860836,8.96115727060199,10.25767044766219,2011,11159272.957752947,18
2011-08-30,0.0016083791532363,8.80994873816481,10.195605228199884,2011,11350803.843704417,18
2011-08-31,0.0016997254980851,8.19915176446523,10.13364216668615,2011,12196383.58609188,20
2011-09-01,0.0024024502349583,8.23428166510813,10.072706585680889,2011,12144350.1773493,20
2011-09-02,0.0022390152351634,8.6214244377557,10.003576570338984,2011,11599011.360822372,19
2011-09-03,0.0016908332423422,8.44965344067796,9.88571820404734,2011,11834804.906741416,19
2011-09-04,0.0018139731681429,8.20347060227937,9.739356906662772,2011,12189962.620480966,20
2011-09-05,0.0020491190039881,7.5973325251315,9.569625254573351,2011,13162514.562737154,22
2011-09-06,0.003283197206215,6.84653002893045,9.363753553214496,2011,14605939.005225072,25
2011-09-07,0.0050956391723264,7.16297027352426,9.178978494097022,2011,13960688.95743147,24
2011-09-08,0.0038002527726165,6.67818000029223,8.929363841949153,2011,14974139.660150537,26
2011-09-09,0.0046881873300004,4.98677704178843,8.605716107071888,2011,20053032.081044585,38
2011-09-10,0.0123840305097419,4.74284665517242,8.27513437279369,2011,21084383.972427763,40
2011-09-11,0.0110072343730049,5.85290397253068,8.021734780187028,2011,17085535.739066973,31
2011-09-12,0.0043923215918253,6.09062947223846,7.780404001081242,2011,16418664.188292425,29
2011-09-13,0.0035224641969447,5.80252327703098,7.527007950438342,2011,17233881.7486257,31
2011-09-14,0.0039173900740382,5.59743261016949,7.3295748972676815,2011,17865333.442035314,33
2011-09-15,0.004154602066435,4.86775518468732,7.166616648348919,2011,20543350.313625824,39
2011-09-16,0.0061994469702701,4.83116810052601,6.978350173042081,2011,20698927.86158945,39
2011-09-17,0.0058053141515315,4.775285635301,6.7655711348188206,2011,20941155.69983003,40
2011-09-18,0.005571018403753,5.23673227819988,6.579349885198715,2011,19095877.865724094,36
2011-09-19,0.0038525870936921,5.52037669199299,6.4148712828901235,2011,18114705.857852895,33
2011-09-20,0.003078311151428,6.14666555172414,6.31224697225307,2011,16268983.428250786,29
2011-09-21,0.0020281673508405,5.59706749795441,6.180386263895384,2011,17866498.84721732,33
2011-09-22,0.0027601036114025,5.47504877673875,6.023067480844537,2011,18264677.46275782,34
2011-09-23,0.002899800413705,5.56342141963764,5.87875587979252,2011,17974550.633001167,33
2011-09-24,0.0026435593364474,5.45788968731736,5.74147683404442,2011,18322099.882739037,34
2011-09-25,0.0027608135609327,5.34115488135593,5.6286679518556415,2011,18722542.637560353,35
2011-09-26,0.0029121713990318,4.87382608123904,5.530032754471071,2011,20517761.26869461,39
2011-09-27,0.0040722110386362,4.91115779251899,5.417442130420808,2011,20361797.405965414,38
2011-09-28,0.0038027680224063,4.76341532144945,5.3217038964786685,2011,20993340.54490365,40
2011-09-29,0.0041838365584577,4.77766097837522,5.3112480933080075,2011,20930744.239204653,40
2011-09-30,0.0040015283026438,5.14368590999416,5.331290056049095,2011,19441311.49332047,36
2011-10-01,0.0027823753960412,5.03407054471069,5.290348384658095,2011,19864640.17773256,37
2011-10-02,0.0029973305882199,5.00706259672706,5.236170040882525,2011,19971789.461023808,38
2011-10-03,0.0030161976216126,5.02284486031561,5.197186120046757,2011,19909036.16993588,37
2011-10-04,0.0029168471567094,4.95680562068966,5.165154770572766,2011,20174283.127545077,38
2011-10-05,0.0031138486628422,4.88506713091759,5.166020367884279,2011,20470547.757081985,39
2011-10-06,0.0033877520883047,4.73016629573349,5.160970277644653,2011,21140905.7838406,40
2011-10-07,0.0041560839495059,4.27603575686733,5.136007783722969,2011,23386146.815867856,45
2011-10-08,0.0087368395092408,3.98125299415546,5.073233819520748,2011,25117720.513316166,49
2011-10-09,0.0138251766103714,4.11163464348334,5.002796717095266,2011,24321227.12033599,47
2011-10-10,0.0095451665405608,4.07496248392753,4.899211563705435,2011,24540103.226574495,48
2011-10-11,0.0093165956526889,4.00892449590883,4.819804413603157,2011,24944346.071384374,49
2011-10-12,0.0094984123292021,4.16623534248977,4.754363741890708,2011,24002484.684468,47
2011-10-13,0.0070119368345395,4.03698109000584,4.678041725409118,2011,24770985.48902426,48
2011-10-14,0.0082244467894889,3.98628088544711,4.6044612853156055,2011,25086039.56260944,49
2011-10-15,0.0084231010058745,3.83733856049094,4.5292704692723555,2011,26059728.22664004,51
2011-10-16,0.0100494021399958,3.60974171654003,4.466066251037405,2011,27702813.068811722,55
2011-10-17,0.0133465678945875,2.58124672180012,4.349570697501462,2011,38740969.29806912,80
2011-10-18,0.0596105529920585,2.42227473816482,4.23251366833723,2011,41283508.60636175,86
2011-10-19,0.0560827572336852,2.21725471303331,4.104493355070135,2011,45100817.42624655,95
2011-10-20,0.0620681443459165,2.35612350847458,3.965115234994155,2011,42442596.76554171,89
2011-10-21,0.039872262499865,2.57009230508475,3.841916323012858,2011,38909108.36243387,80
2011-10-22,0.0248035310989465,3.15548613851549,3.74933750010228,2011,31690837.9914625,64
2011-10-23,0.0099285098272879,3.14775092986558,3.655582803579778,2011,31768714.306843314,64
2011-10-24,0.0097361496633193,2.52293599766219,3.533889322428405,2011,39636360.213918336,82
2011-10-25,0.0238427122043414,2.80192383109293,3.429732157437172,2011,35689763.90089576,73
2011-10-26,0.0143166644655394,2.7775052390415,3.3320991046025723,2011,36003532.44860463,74
2011-10-27,0.0140054299657783,3.04540782758621,3.270567708138517,2011,32836324.611163814,67
2011-10-28,0.0089095389161137,3.17963943658679,3.230487030260083,2011,31450106.842097107,64
2011-10-29,0.0070806872179917,3.56918896873174,3.203364746522503,2011,28017569.50278078,56
2011-10-30,0.0041089040321758,3.25740372296902,3.1624868084745774,2011,30699295.66754875,62
2011-10-31,0.005905854021404,3.26509821274109,3.12529549431619,2011,30626950.08982556,62
2011-11-01,0.0055847457010723,3.17100774284044,3.075534114333724,2011,31535716.12235317,64
2011-11-02,0.0061011733250868,3.2558005666277,3.036475088164817,2011,30714412.00207733,62
2011-11-03,0.0051316045387805,3.16831638515488,2.9955768631502058,2011,31562504.448277064,64
2011-11-04,0.0055586389259315,3.12011817182934,2.9597158437171256,2011,32050068.136159576,65
2011-11-05,0.0056800631835793,2.97781759789597,2.928119637784923,2011,33581640.484177664,68
2011-11-06,0.0068378368017406,2.96272057685564,2.9471933305376985,2011,33752761.15513088,69
2011-11-07,0.0066018809866783,3.01775768731736,2.9769674779953257,2011,33137186.73313865,67
2011-11-08,0.0056452444725951,3.05656711104617,3.0189330978959688,2011,32716441.80119868,66
2011-11-09,0.004949831427477,2.9195672238457,3.0471052836645245,2011,34251651.81443516,70
2011-11-10,0.005994678202399,2.85670208533022,3.061435772676798,2011,35005400.287807934,72
2011-11-11,0.006366884073706,3.06786173348919,3.057054552425483,2011,32595993.133714795,66
2011-11-12,0.0038905992196155,3.02552299590883,3.050943155727645,2011,33052136.81575777,67
2011-11-13,0.0039346281288093,2.98637330333139,3.0741150210111057,2011,33485431.9412938,68
2011-11-14,0.0039663702248795,2.22422446434833,3.0452300526738756,2011,44959491.0958318,94
2011-11-15,0.0256603194974472,2.3223841157218,3.0224739965078906,2011,43059199.08900163,90
2011-11-16,0.0171452127643404,2.54678093074226,2.997542651665693,2011,39265253.94975962,81
2011-11-17,0.0088516266360591,2.27909583576856,2.9525154716247815,2011,43877049.148430325,92
2011-11-18,0.0172906287105266,2.10506600321449,2.879309323348919,2011,47504448.71908882,100
2011-11-19,0.0266235830168574,2.20345672180012,2.826611973290474,2011,45383237.62415661,95
2011-11-20,0.0182223616873425,2.20198950964348,2.7734565381355933,2011,45413477.02250898,95
2011-11-21,0.0163124031609953,2.27987916540035,2.7289001092635887,2011,43861973.70352295,92
2011-11-22,0.0118461461923066,2.32245859614261,2.6822330107393344,2011,43057818.19580801,90
2011-11-23,0.0096838498905357,2.33032356750438,2.640333369856809,2011,42912495.66990102,90
2011-11-24,0.0089379771240421,2.43887900029223,2.606271411279954,2011,41002444.15078315,85
